View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order
"BLBI-199881-2026","BL025341","Business License","BSD-Business License","4707 CEDAR COALS CT COLUMBIA MO 65203","Brown, Daryl","12:00 AM","12:00 AM","","Passed Business License",0
"FIRENEWBI-199662-2026","BL026301","Business License","Fire - NEW Business Inspection","110 SELHORST DR OTTAWA OH 45875","Gilstrap, Christopher","12:00 AM","12:00 AM","","No Fire Inspection Needed",0
"BLBI-199885-2026","BL026342","Business License","BSD-Business License","303 N STADIUM BLVD STE 200 COLUMBIA MO 65203","Brown, Daryl","12:00 AM","12:00 AM","","Passed Business License",0
"BLDG-199639-2026","BLDC-000935-2025","Permit","BSD-Framing and Rough In's","4170 BETHEL ST COLUMBIA MO 65203","Hazlett, Harlan","08:00 AM","08:00 AM","","Partial Pass Permit Inspection",0
"BLDG-199690-2026","BLDC-001619-2026","Permit","BSD-Footing","1110 PEBBLES PKWY COLUMBIA MO 65201","Hazlett, Harlan","08:00 AM","08:00 AM","","Partial Pass Permit Inspection",0
"BLDG-199860-2026","BLDC-001628-2024","Permit","BSD-Final (Building and Trades)","500 PARK AVE COLUMBIA MO 65201","Tiffany, Andy","01:00 PM","01:00 PM","","Re-inspection required",0
"SITE-199817-2026","BLDC-001979-2024","Permit","BSD-Yard Final (Commercial)","5400 SINCLAIR RD COLUMBIA MO 65203","Allen, Cody","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"BLDG-199859-2026","BLDC-002068-2026","Permit","BSD-Footing","2601 RANGE LINE ST STE 113 COLUMBIA MO 65202","Hombs, Josh","01:00 PM","01:00 PM","","Partial Pass Permit Inspection",0
"BLDG-199831-2026","BLDC-002711-2026","Permit","BSD-Framing and Rough In's","1314 N SEVENTH ST COL MO 65201","Tiffany, Andy","08:00 AM","08:00 AM","","Partial Pass Permit Inspection",0
"BLDG-199861-2026","BLDC-003104-2026","Permit","BSD-Framing and Rough In's","1104 N PROVIDENCE RD COL MO 65203","Hombs, Josh","01:00 PM","01:00 PM","","Partial Pass Permit Inspection",0
"FSIR-199902-2026","BLDC-003596-2024","Permit","Final Special Inspection Report","1304 BOWLING ST COLUMBIA MO 65201","Hazlett, Harlan","12:00 PM","12:00 PM","","Passed Permit Inspection",0
"LCRT-199889-2026","BLDC-004192-2022","Permit","Exterior Lighting Compliance Certification","2500 E BUSINESS LOOP 70 COLUMBIA MO 65201","Brown, Daryl","12:00 AM","12:00 AM","","Passed Permit Inspection",0
"FSIR-199899-2026","BLDC-004192-2022","Permit","Final Special Inspection Report","2500 E BUSINESS LOOP 70 COLUMBIA MO 65201","Hazlett, Harlan","11:52 AM","11:52 AM","","Passed Permit Inspection",0
"FSIR-199900-2026","BLDC-004193-2022","Permit","Final Special Inspection Report","2504 E BUSINESS LOOP 70 COLUMBIA MO 65201","Hazlett, Harlan","11:57 AM","11:57 AM","","Passed Permit Inspection",0
"BLDG-199777-2026","BLDC-006283-2025","Permit","BSD-Framing and Rough In's","3501 ENDEAVOR AVE COLUMBIA MO 65201","Hombs, Josh","08:00 AM","08:00 AM","","Re-inspection required",0
