View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order
"BLBI-198992-2026","BL000860","Business License","BSD-Business License","1000 PANNELL ST STE G COLUMBIA MO 65201","Brown, Daryl","12:00 AM","12:00 AM","","Passed Business License",0
"FIRENEWBI-199021-2026","BL016707","Business License","Fire - NEW Business Inspection","204 PEACH WAY STE D COLUMBIA MO 65203","Wright, Colin","12:00 AM","12:00 AM","","Scheduled",0
"BLBI-199022-2026","BL016707","Business License","BSD-Business License","204 PEACH WAY STE D COLUMBIA MO 65203","Brown, Daryl","12:00 AM","12:00 AM","","Passed Business License",0
"FFNL-199089-2026","BLDC-003335-2026","Permit","Fire Final (Building)","2011 CORONA RD STE 101 COL MO 65203","RIGGS, STEVEN","12:00 AM","12:00 AM","","Re-inspection required",0
"FFNL-199090-2026","BLDC-003335-2026","Permit","Fire Final (Building)","2011 CORONA RD STE 101 COL MO 65203","RIGGS, STEVEN","12:00 AM","12:00 AM","","Requested",0
"BLDG-199032-2026","BLDC-006283-2025","Permit","BSD-Framing and Rough In's","3501 ENDEAVOR AVE COLUMBIA MO 65201","Hazlett, Harlan","01:00 PM","01:00 PM","","Partial Pass Permit Inspection",0
"FIRE-PIPE-199046-2026","BLDC-006283-2025","Permit","Fire - Sprinkler System Piping Inspection","3501 ENDEAVOR AVE COLUMBIA MO 65201","RIGGS, STEVEN","12:00 AM","12:00 AM","","Requested",0
"BLDG-199018-2026","BLDC-006405-2025","Permit","BSD-Final (Building and Trades)","725 SCOTT BLVD STE 103 COL MO 65203","Hazlett, Harlan","01:00 PM","01:00 PM","","Re-inspection required",0
"BLDG-199009-2026","BLDR-000280-2026","Permit","BSD-Framing and Rough In's","4601 RIA ST COLUMBIA MO 65202","Hombs, Josh","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"BLDG-199008-2026","BLDR-000280-2026","Permit","BSD-Insulation","4601 RIA ST COLUMBIA MO 65202","Hombs, Josh","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"BLDG-199011-2026","BLDR-000281-2026","Permit","BSD-Insulation","4603 RIA ST COLUMBIA MO 65202","Hombs, Josh","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"BLDG-199028-2026","BLDR-000436-2026","Permit","BSD-Residential Final (Building and Trades)","708 ALTON AVE COLUMBIA MO 65201","Hombs, Josh","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"BLDG-199029-2026","BLDR-000437-2026","Permit","BSD-Residential Final (Building and Trades)","710 ALTON AVE COLUMBIA MO 65201","Hombs, Josh","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"BLDG-199045-2026","BLDR-002527-2026","Permit","BSD-Framing and Rough In's","6012 KESTREL LOOP COLUMBIA MO 65202","Hombs, Josh","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"BLDG-199044-2026","BLDR-002527-2026","Permit","BSD-Insulation","6012 KESTREL LOOP COLUMBIA MO 65202","Hombs, Josh","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"PLMB-199049-2026","BLDR-002897-2026","Permit","BSD-Plumbing Groundwork","1025 BROCKTON DR COLUMBIA MO 65201","Hombs, Josh","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"PLMB-199048-2026","BLDR-002897-2026","Permit","BSD-Plumbing Sewer Lateral","1025 BROCKTON DR COLUMBIA MO 65201","Hombs, Josh","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"SITE-199013-2026","BLDR-004463-2025","Permit","BSD-Sidewalk (Residential)","7513 BIDDLESTONE CT COLUMBIA MO 65203","Allen, Cody","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"SITE-199042-2026","BLDR-006439-2025","Permit","BSD-Yard Final (Residential)","2016 STONE MOUNTAIN CT COLUMBIA MO 65201","Nunley, Louis","01:00 PM","01:00 PM","","Re-inspection required (with fee)",0
"EROS-199041-2026","BLDR-006439-2025","Permit","BSD-Erosion Control Measures","2016 STONE MOUNTAIN CT COLUMBIA MO 65201","Nunley, Louis","01:00 PM","01:00 PM","","Cancelled ",0
"DECK-199036-2026","DECK-002638-2026","Permit","BSD-Deck Only Final","805 RANDY LN COL MO 65201","Hombs, Josh","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"BLDG-198988-2026","DECK-003776-2026","Permit","BSD-Deck Piers","2405 RAINIER CT COL MO 65203","Hazlett, Harlan","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"BLDG-198999-2026","DECK-004359-2026","Permit","BSD-Deck Piers","4309 STEVENDAVE DR COLUMBIA MO 65202","Hombs, Josh","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"DEMO-199039-2026","DEMO-004381-2026","Permit","BSD-Place Demo Sign","407 PERSHING RD COL MO 65203","Hazlett, Harlan","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"ELEC-198680-2026","ELEC-004092-2026","Permit","BSD-Electrical Final","2001 DORIS DR COL MO 65202","Lichty, Curtis","01:00 PM","01:00 PM","","Cancelled ",0
"ELEC-198130-2026","ELEC-004176-2026","Permit","BSD-Electrical Tag","5004 STONE MOUNTAIN PKWY COLUMBIA MO 65201","Hazlett, Harlan","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"SITE-199053-2026","LDST-000726-2025","Permit","BSD-Sidewalk (Residential)","2899 CREASY SPRINGS RD COL MO 65202","Price, Bud","11:17 AM","11:17 AM","","Partial Pass Permit Inspection",0
"EROS-199014-2026","LDST-001944-2026","Permit","BSD-Erosion Control Measures","1705 MCKEE ST COL MO 65202","Price, Bud","06:55 AM","06:55 AM","","Partial Pass Permit Inspection",0
"MECH-198989-2026","MECH-004256-2026","Permit","BSD-Mechanical Final (W&L)","504 MANOR DR COL MO 65203","Ayala-Ruiz, Misael","01:00 PM","01:00 PM","","Passed Permit Inspection",0
